Mediators,Conv_Coef
d85SHETE 116,15005
d4LTB4 197,12150
d5MaR1 177,4186
d5MaR2 177,3383
d4PGE2 193,70982
d5LXA4 115,19935
d5RvD3 147,2201
d5RvD2 141,5037
d4RvE1 197,9619
d517RRvD1 141,20638
RvD1 215,11506
RvD1 233,8603
17RRvD1 215,11506
17RRvD1 233,8603
RvD2 215,6114
RvD2 141,15179
RvD3 147,91851
RvD3 137,11793
17RRvD3 147,91851
17RRvD3 137,11793
RvD4 101,30829
RvD4 225,4729
RvD5 199,26878
RvD5 141,14780
RvD6 159,26878
RvD6 101,14780
PD1 153,50488
PD1 137,10568
10S17SdiHDHA 137,10568
10S17SdiHDHA 153,50488
10SEZE17SdiHDHA 137,10568
10SEZE17SdiHDHA 153,50488
10SEEE17SdiHDHA 137,10568
10SEEE17SdiHDHA 153,50488
22OHPD1 153,16403
22OHPD1 137,1854
17RPD1 153,50488
17RPD1 137,10568
MaR1 221,3661
MaR1 177,9949
7S14SdiHDHA 177,9949
7S14SdiHDHA 221,3661
7SEZE14SdiHDHA 177,9949
7SEZE14SdiHDHA 221,3661
7SEEE14SdiHDHA 177,9949
7SEEE14SdiHDHA 221,3661
MaR2 191,5356
MaR2 221,17481
22OHMaR1 221,3661
22OHMaR1 177,9949
22COOHMaR1 ,9949
14oxoMaR1 248,9949
4S14SdiHDHA 159,9949
4S14SdiHDHA 101,14780
4SEZE14SdiHDHA 159,9949
4SEZE14SdiHDHA 101,14780
4SEEE14SdiHDHA 159,9949
4SEEE14SdiHDHA 101,14780
RvT1 211,20108
RvT1 193,12192
RvT2 197,20108
RvT3 197,20108
RvT3 173,20108
RvT4 211,10232
RvT4 193,5756
RvT2isomer ,20108
RvD1n3dpa 143,22361
RvD1n3dpa 215,8459
RvD2n3dpa 233,2373
RvD2n3dpa 261,10327
RvD5n3dpa 199,13750
RvD5n3dpa 143,19708
RvD5n3dpa 263,7698
PD1n3dpa 183,50488
PD1n3dpa 155,50488
PD2n3dpa 233,36534
PD2n3dpa,36534
10S17SdiHDPA 183,50488
10S17SdiHDPA 155,50488
10SEZE17SdiHDPA 183,50488
10SEZE17SdiHDPA 155,50488
10SEEE17SdiHDPA 183,50488
10SEEE17SdiHDPA 155,50488
22OHPD1n3dpa 183,16403
MaR1n3dpa 223,17481
MaR2n3dpa 193,6113
MaR2n3dpa 223,36534
7S14SdiHDPA 223,17481
7S14SdiHDPA 205,17481
7SEZE14SdiHDPA 223,17481
7SEZE14SdiHDPA 205,17481
7SEEE14SdiHDPA 223,17481
7SEEE14SdiHDPA 205,17481
RvE1 161,11297
RvE1 195,15554
RvE2 159,9367
RvE2 199,5370
RvE3 201,16206
RvE3 275,6172
RvE4 115,21144
LXA4 115,19617
LXA4 217,7478
LXB4 221,6157
LXB4 115,1252
5S15SdiHETE 115,21144
5S15SdiHETE 235,3679
5SEZE15SdiHETE 115,21144
5SEZE15SdiHETE 235,3679
5SEEE15SdiHETE 115,21144
5SEEE15SdiHETE 235,3679
1314dehydro-5oxoLXA4 217,7478
1314dehydro15oxoLXA5 115,19617
15oxoLXA4 115,19617
15LXA4 217,7478
15LXA4 115,19617
15epiLXA4 217,7478
15epiLXA4 115,19617
15LXB4 115,1252
15LXB4 221,6157
15epiLXB4 115,1252
15epiLXB4 221,6157
LTB4 195,42829
5S12SdiHETE 195,42829
5SEZE12SdiHETE 195,42829
5SEEE12SdiHETE 195,42829
6transLTB4 195,42829
6trans12epi LTB4 195,42829
20OHLTB4 195,31471
20COOHLTB4 195,31471
PGE2 189,192589
PGD2 189,44614
PGF2a 193,56897
TXB2 169,69147
17HDPA 247,21275
14HDPA 207,29239
13HDPA 195,67475
7HDPA 143,34299
DPA 285,11999
17HDHA 245,21275
14HDHA 205,29239
13HDHA 193,67475
7HDHA 141,34299
4HDHA 101,66075
DHA 283,42020
18HEPE 259,31466
15HEPE 219,40920
12HEPE 179,40244
11HEPE 167,43760
5HEPE 115,57274
EPA 257,30739
20HETE 301,14763
15HETE 219,37183
12HETE 179,36980
11HETE 167,87885
5HETE 115,54585
AA 259,13069
