Mediators ,Conv_Coef
d5LTE4 194,49255
d5LTD4 194,63415
d5LTC4 194,18781
PCTR1 231,9024
PCTR2 231,20598
PCTR3 231,10606
MCTR1 191,6498
MCTR2 191,36311
MCTR3 191,27267
LTC4 189,16282
LTD4 189,66151
LTE4 189 ,50119
