Component.Name,MS_CrossRef
d85SHETE 116,1142333.333
d4LTB4 197,903333.3333
d5MaR1 177,273666.6667
d5MaR2 177,198333.3333
d4PGE2 193,5090000
d5LXA4 115,1326333.333
d5RvD3 147,171000
d5RvD2 141,347000
d4RvE1 197,123333.3333
d517RRvD1 141,71133.33333
